t,x,y,yaw
1785343082.583424,0.160541,0.175588,-0.097186
1785343082.683462,0.160529,0.175590,-0.133173
1785343082.823577,0.160726,0.175563,-0.145521
1785343082.963461,0.160716,0.175565,-0.139659
1785343083.083459,0.160716,0.175565,-0.139659
1785343083.183613,0.160716,0.175565,-0.139659
1785343083.323416,0.160716,0.175565,-0.139659
1785343083.423433,0.160716,0.175565,-0.139659
1785343083.524537,0.160716,0.175565,-0.139659
1785343083.663661,0.160716,0.175565,-0.139659
1785343083.783499,0.160716,0.175565,-0.139659
1785343083.883591,0.160716,0.175565,-0.139659
1785343084.023454,0.160716,0.175565,-0.139659
1785343084.123560,0.160716,0.175565,-0.139659
1785343084.263385,0.160716,0.175565,-0.139659
1785343084.363495,0.160716,0.175565,-0.139659
1785343084.463549,0.160716,0.175565,-0.139659
1785343084.583414,0.160716,0.175565,-0.139659
1785343084.683480,0.160716,0.175565,-0.139659
1785343084.783666,0.160716,0.175565,-0.139659
1785343084.923588,0.160716,0.175565,-0.139659
1785343085.063530,0.160716,0.175565,-0.139659
1785343085.183497,0.160716,0.175565,-0.139659
1785343085.283556,0.160716,0.175565,-0.139659
1785343085.423443,0.161490,0.175457,-0.138343
1785343085.530112,0.163921,0.175137,-0.123472
1785343085.665103,0.172691,0.174402,-0.046080
1785343085.763382,0.182859,0.174515,0.057064
1785343085.863371,0.192825,0.175557,0.158013
1785343085.963387,0.201506,0.177332,0.254039
1785343086.063407,0.209232,0.179648,0.346045
1785343086.163728,0.216182,0.182496,0.440431
1785343086.283533,0.223272,0.186329,0.557405
1785343086.423485,0.235086,0.194606,0.709368
1785343086.523674,0.248250,0.206943,0.839463
1785343086.583392,0.257139,0.217209,0.915158
1785343086.623475,0.263355,0.225327,0.963952
1785343086.663363,0.269682,0.234368,1.010498
1785343086.723429,0.278357,0.248791,1.076668
1785343086.763367,0.283973,0.259244,1.117385
1785343086.823483,0.290772,0.274294,1.176747
1785343086.863438,0.294560,0.283839,1.216238
1785343086.923465,0.299628,0.298414,1.274652
1785343086.963491,0.302520,0.308213,1.312503
1785343087.023427,0.306059,0.322829,1.368408
1785343087.083467,0.308805,0.337369,1.419209
1785343087.124750,0.310299,0.347454,1.452851
1785343087.186258,0.311860,0.362615,1.502448
1785343087.227186,0.312515,0.372880,1.533837
1785343087.287741,0.312913,0.388182,1.577210
1785343087.363257,0.312254,0.404261,1.630122
1785343087.463450,0.310736,0.417149,1.690539
1785343087.563492,0.310233,0.420224,1.715727
1785343087.683623,0.310349,0.419822,1.724430
1785343087.823488,0.310664,0.418378,1.752795
1785343087.963296,0.310801,0.418289,1.801990
1785343088.063478,0.310724,0.418783,1.842770
1785343088.183439,0.310521,0.419586,1.888323
1785343088.283502,0.310509,0.419661,1.926156
1785343088.383550,0.310515,0.419722,1.971250
1785343088.484085,0.310537,0.419735,2.040734
1785343088.623493,0.310603,0.419675,2.170197
1785343088.763423,0.310989,0.419220,2.305321
1785343088.863473,0.311267,0.418971,2.395664
1785343088.983510,0.311443,0.418857,2.497169
1785343089.083526,0.311745,0.418649,2.578716
1785343089.223643,0.312083,0.418496,2.693151
1785343089.363406,0.312359,0.418408,2.808289
1785343089.483347,0.312477,0.418391,2.908405
1785343089.583418,0.312631,0.418366,2.995287
1785343089.686920,0.312689,0.418372,3.085716
1785343089.824117,0.312967,0.418374,-3.092559
1785343089.963828,0.313227,0.418406,-3.060671
1785343090.083429,0.313230,0.418413,-3.068032
1785343090.183437,0.313233,0.418417,-3.068032
1785343090.323391,0.313236,0.418421,-3.068032
1785343090.423398,0.312002,0.418375,-3.069271
1785343090.564234,0.307456,0.418173,-3.095606
1785343090.683467,0.298349,0.418147,3.123629
1785343090.763562,0.288228,0.418682,3.063155
1785343090.863328,0.272042,0.420763,2.966353
1785343090.923504,0.262061,0.422927,2.895246
1785343091.023500,0.247613,0.427524,2.769190
1785343091.123980,0.233966,0.433602,2.650266
1785343091.183512,0.224826,0.438713,2.579702
1785343091.263426,0.210842,0.448092,2.486488
1785343091.324481,0.199154,0.457357,2.419125
1785343091.363471,0.191520,0.464144,2.378188
1785343091.423469,0.179704,0.475796,2.317151
1785343091.463591,0.172047,0.484187,2.277759
1785343091.523718,0.161154,0.497428,2.219441
1785343091.563362,0.154439,0.506446,2.181995
1785343091.623789,0.145180,0.520154,2.129134
1785343091.663529,0.139696,0.529056,2.097463
1785343091.723675,0.132210,0.542418,2.050217
1785343091.764480,0.127555,0.551585,2.018051
1785343091.823495,0.121313,0.565079,1.972851
1785343091.884214,0.115549,0.579233,1.927074
1785343091.924016,0.112049,0.588734,1.897748
1785343091.983544,0.107408,0.603113,1.854302
1785343092.023845,0.104661,0.612852,1.826139
1785343092.083445,0.101076,0.627302,1.786082
1785343092.127145,0.098826,0.637926,1.757561
1785343092.184321,0.096398,0.651712,1.721323
1785343092.263480,0.093753,0.670656,1.675848
1785343092.323477,0.092434,0.684807,1.644413
1785343092.383437,0.091509,0.699064,1.612463
1785343092.463919,0.090948,0.718869,1.569549
1785343092.523822,0.091099,0.734017,1.538301
1785343092.563415,0.091431,0.744053,1.520896
1785343092.623451,0.092196,0.759327,1.499054
1785343092.663498,0.092890,0.769399,1.486665
1785343092.723667,0.094196,0.784628,1.469012
1785343092.763429,0.095198,0.794754,1.458809
1785343092.823495,0.096872,0.810020,1.447645
1785343092.863348,0.098078,0.820125,1.442493
1785343092.923462,0.100001,0.834735,1.434470
1785343092.983479,0.102044,0.849478,1.426023
1785343093.023853,0.103498,0.859610,1.421035
1785343093.063406,0.105001,0.869688,1.416586
1785343093.123405,0.107410,0.885234,1.410615
1785343093.163402,0.109079,0.895598,1.407454
1785343093.223531,0.111607,0.911081,1.404953
1785343093.283353,0.114155,0.926301,1.402732
1785343093.323548,0.115900,0.936492,1.400154
1785343093.363440,0.117661,0.946574,1.397187
1785343093.424171,0.120417,0.961941,1.391213
1785343093.483551,0.123150,0.976810,1.386163
1785343093.523676,0.125020,0.986776,1.383433
1785343093.563437,0.126908,0.996629,1.380139
1785343093.624300,0.129820,1.011557,1.375023
1785343093.683487,0.132751,1.026238,1.370186
1785343093.723504,0.134797,1.036367,1.367440
1785343093.763509,0.136863,1.046391,1.365129
1785343093.823591,0.139913,1.061267,1.364597
1785343093.883556,0.142994,1.076009,1.363642
1785343093.923617,0.145062,1.085855,1.362988
1785343093.963524,0.147146,1.095796,1.362443
1785343094.023447,0.150340,1.111054,1.362510
1785343094.064092,0.152531,1.121547,1.363546
1785343094.123788,0.155781,1.137218,1.365907
1785343094.163470,0.157920,1.147490,1.366952
1785343094.223705,0.161075,1.162698,1.368053
1785343094.263632,0.163110,1.172721,1.370039
1785343094.323418,0.166081,1.187669,1.374921
1785343094.363426,0.168050,1.197754,1.378377
1785343094.423523,0.170908,1.212648,1.384056
1785343094.483418,0.173577,1.227161,1.391347
1785343094.563421,0.176960,1.246521,1.403038
1785343094.623562,0.179372,1.261341,1.413877
1785343094.683607,0.181637,1.276440,1.427059
1785343094.724017,0.183070,1.286837,1.437328
1785343094.763471,0.184355,1.296789,1.447520
1785343094.823504,0.186090,1.312050,1.465485
1785343094.863919,0.187130,1.322310,1.477147
1785343094.923417,0.188420,1.337659,1.496702
1785343094.963403,0.189137,1.348119,1.510274
