t,x,y,yaw
1785861044.744516,-2.249237,-2.234627,-1.888122
1785861044.924330,-2.249241,-2.234637,-1.886487
1785861045.024488,-2.249241,-2.234637,-1.886301
1785861045.144440,-2.249117,-2.238154,-1.887279
1785861045.324382,-2.249117,-2.238153,-1.887284
1785861045.424452,-2.249464,-2.225606,-1.890688
1785861045.524489,-2.249331,-2.225203,-1.887069
1785861045.644310,-2.249260,-2.224974,-1.856668
1785861045.744352,-2.249237,-2.224960,-1.794935
1785861045.844363,-2.249280,-2.225163,-1.699322
1785861045.944402,-2.249291,-2.225394,-1.596115
1785861046.044493,-2.249258,-2.234289,-1.485611
1785861046.204445,-2.249194,-2.234646,-1.347165
1785861046.324431,-2.249130,-2.234885,-1.231281
1785861046.425011,-2.249100,-2.234937,-1.128014
1785861046.544424,-2.248684,-2.235881,-0.998573
1785861046.644636,-2.245807,-2.240307,-0.889034
1785861046.746441,-2.237848,-2.249762,-0.775849
1785861046.824415,-2.226205,-2.260634,-0.673981
1785861046.924432,-2.205178,-2.275954,-0.550647
1785861047.025636,-2.180982,-2.289424,-0.439872
1785861047.124369,-2.155973,-2.300582,-0.357986
1785861047.224411,-2.130501,-2.309395,-0.283879
1785861047.324406,-2.105486,-2.315984,-0.215752
1785861047.424448,-2.080195,-2.320943,-0.154152
1785861047.524436,-2.054961,-2.324404,-0.101379
1785861047.624443,-2.029800,-2.326522,-0.052726
1785861047.724390,-2.004108,-2.327477,-0.008981
1785861047.804466,-1.984039,-2.327379,0.025056
1785861047.924435,-1.954331,-2.326044,0.073078
1785861048.004448,-1.934216,-2.324461,0.100150
1785861048.044294,-1.924173,-2.323456,0.111819
1785861048.124445,-1.903943,-2.321162,0.129855
1785861048.184652,-1.889122,-2.319238,0.140188
1785861048.244360,-1.874508,-2.317187,0.149116
1785861048.324414,-1.854919,-2.314170,0.160766
1785861048.424692,-1.830694,-2.310074,0.176945
1785861048.524403,-1.806302,-2.305547,0.193062
1785861048.625131,-1.781015,-2.300532,0.205513
1785861048.724459,-1.755234,-2.295184,0.212501
1785861048.824443,-1.729693,-2.289721,0.214363
1785861048.924488,-1.704699,-2.284290,0.215309
1785861049.024509,-1.679891,-2.278918,0.214082
1785861049.124385,-1.655610,-2.273651,0.212428
1785861049.208017,-1.635421,-2.269307,0.211334
1785861049.324743,-1.606780,-2.263099,0.213376
1785861049.424453,-1.582444,-2.257822,0.214443
1785861049.524483,-1.558083,-2.252451,0.217935
1785861049.624440,-1.532720,-2.246724,0.224678
1785861049.724424,-1.506821,-2.240652,0.234057
1785861049.824420,-1.481199,-2.234233,0.250654
1785861049.924389,-1.455827,-2.227588,0.264896
1785861050.024462,-1.431450,-2.220852,0.277453
1785861050.124520,-1.407246,-2.213827,0.290158
1785861050.225707,-1.382433,-2.206321,0.302427
1785861050.324391,-1.358014,-2.198541,0.315336
1785861050.404479,-1.338146,-2.191981,0.325245
1785861050.444340,-1.328396,-2.188656,0.331139
1785861050.524415,-1.308933,-2.181853,0.342849
1785861050.625954,-1.284262,-2.172796,0.360771
1785861050.724466,-1.260763,-2.163621,0.382076
1785861050.824800,-1.237422,-2.153917,0.406558
1785861050.924480,-1.213865,-2.143377,0.435297
1785861050.984400,-1.199556,-2.136510,0.456880
1785861051.044313,-1.185418,-2.129346,0.479904
1785861051.124722,-1.167193,-2.119666,0.505737
1785861051.224395,-1.145225,-2.107153,0.537762
1785861051.324387,-1.123989,-2.094092,0.570324
1785861051.424745,-1.103263,-2.080339,0.605601
1785861051.524388,-1.082636,-2.065574,0.642886
1785861051.624444,-1.061930,-2.049544,0.680996
1785861051.724432,-1.042449,-2.033237,0.718605
1785861051.804518,-1.027120,-2.019618,0.746147
1785861051.844346,-1.019630,-2.012675,0.759123
1785861051.924332,-1.004781,-1.998447,0.782065
1785861052.024435,-0.986908,-1.980459,0.806391
1785861052.124392,-0.969586,-1.962234,0.826412
1785861052.224464,-0.952598,-1.943568,0.845056
1785861052.324392,-0.936052,-1.924766,0.860540
1785861052.424474,-0.919834,-1.905748,0.874992
1785861052.524331,-0.903602,-1.886095,0.889740
1785861052.624566,-0.887398,-1.865865,0.904218
1785861052.724403,-0.871890,-1.845964,0.917285
1785861052.824460,-0.856467,-1.825816,0.925219
1785861052.924403,-0.841032,-1.805521,0.925565
1785861053.024460,-0.825736,-1.785439,0.921029
1785861053.124503,-0.810785,-1.765911,0.915396
1785861053.224483,-0.795272,-1.746021,0.905332
1785861053.324418,-0.779550,-1.726287,0.892642
1785861053.424417,-0.763781,-1.707039,0.877190
1785861053.524315,-0.747404,-1.687681,0.859949
1785861053.624539,-0.730619,-1.668624,0.838491
